iter	PRAUC	Logloss
0	0.6909448799	0.6918729572
1	0.687371026	0.6913255632
2	0.6892281382	0.6902387174
3	0.6906378438	0.6890063521
4	0.6874210478	0.6879632571
5	0.6926187784	0.6867277953
6	0.68750391	0.6858209146
7	0.6876860899	0.6846813059
8	0.6862958476	0.6840733871
9	0.6866310131	0.6831531543
10	0.6882280179	0.6821682268
11	0.695182805	0.6813502017
12	0.6945302643	0.6802768359
13	0.691421805	0.6791469026
14	0.6904668857	0.6782714732
15	0.6914758066	0.6771617963
16	0.6927082682	0.6760626002
17	0.6936610669	0.6751810691
18	0.6935109292	0.6742524626
19	0.6935986074	0.6733825054
20	0.6968085575	0.6726753211
21	0.6974889255	0.671614113
22	0.6970307943	0.6707194647
23	0.6973334788	0.6698940637
24	0.6971295025	0.6691197529
25	0.696848519	0.6684579125
26	0.6963996762	0.667972213
27	0.6970593561	0.6672230898
28	0.6972718955	0.666438418
29	0.6973949475	0.6656285988
30	0.6976821048	0.6648829148
31	0.6970746541	0.6640980255
32	0.6974069109	0.6635932729
33	0.6971770303	0.6628331034
34	0.6969473674	0.6623265659
35	0.6967161635	0.6621955394
36	0.6965981847	0.6616345177
37	0.697161692	0.6610792395
38	0.6974500144	0.6604449478
39	0.6978328706	0.6596645917
40	0.6976959827	0.6591260904
41	0.6979392341	0.6585034692
42	0.6982141977	0.6578441167
43	0.6983008448	0.6573267017
44	0.6983743502	0.6567141122
45	0.6990980625	0.6559963155
46	0.6994608986	0.6553933167
47	0.6999901118	0.654761302
48	0.7000521529	0.654385915
49	0.700025927	0.6538504869
50	0.6999397091	0.6533101238
51	0.6994854156	0.65308398
52	0.6996305493	0.6525889802
53	0.6996151484	0.6523100091
54	0.6997644098	0.6516810423
55	0.699656416	0.6512871598
56	0.6997782237	0.6508818435
57	0.6997296495	0.6503676676
58	0.6996704596	0.6498683768
59	0.6996577459	0.6493562373
60	0.6996324364	0.6489730945
61	0.6996152433	0.6487173652
62	0.699477669	0.6483547981
63	0.6995789508	0.6480133926
64	0.6996746809	0.6476493955
65	0.6730062183	0.6472964778
66	0.673027576	0.6470534784
67	0.6730136159	0.6466122846
68	0.673051256	0.6462926756
69	0.6975210836	0.6456992629
70	0.6978174014	0.6451321665
71	0.6979774774	0.6447040714
72	0.6980305261	0.6443317267
73	0.6982481942	0.6439697498
74	0.6983240323	0.6435174215
75	0.6983242598	0.6431739972
76	0.7011702134	0.6428827208
77	0.7012879317	0.6425670578
78	0.7014833012	0.6424109294
79	0.701458921	0.6420306803
80	0.7015056285	0.641662747
81	0.7016394999	0.6411962922
82	0.7016866069	0.6409428939
83	0.7015880147	0.6406764095
84	0.7018872513	0.6403995275
85	0.7018992487	0.6400637518
86	0.7018924488	0.6397233495
87	0.7019065865	0.63938112
88	0.7019410081	0.6389397962
89	0.7020286785	0.6385074659
90	0.7021434711	0.6382820369
91	0.7020488864	0.6380009675
92	0.7021003362	0.6376636662
93	0.7023590978	0.6373467796
94	0.7022810954	0.6370744892
95	0.7024573771	0.6367822847
96	0.702450666	0.6365135629
97	0.7023893734	0.6362486872
98	0.7023196926	0.6360137895
99	0.7023667896	0.6356717479
100	0.7024229278	0.6354747913
101	0.7024486812	0.6351934837
102	0.7024376526	0.634900474
103	0.7025359057	0.6346659116
104	0.7025489017	0.6345045207
105	0.702495949	0.6344543254
106	0.7026236654	0.6342215129
107	0.7024633468	0.6339217225
108	0.702599386	0.6336251789
109	0.7028864934	0.6333011319
110	0.7029036384	0.6331250024
111	0.7029974304	0.6329915067
112	0.7028265539	0.632804035
113	0.7030855393	0.6324304409
114	0.7031507354	0.6322306163
115	0.7031440352	0.6320234053
116	0.7030605641	0.6319514342
117	0.7031195675	0.6318343071
118	0.703114282	0.6316490154
119	0.7031405029	0.6314209704
120	0.7032846756	0.6310788167
121	0.7033281355	0.6309191821
122	0.7034529994	0.630657535
123	0.7036340633	0.6303321939
124	0.703672579	0.6301920621
125	0.7036644032	0.6299984941
126	0.7038207702	0.6298555411
127	0.7038092215	0.6295813939
128	0.7038064569	0.6293899399
129	0.7040027684	0.6291372259
130	0.704093867	0.6289305173
131	0.7040554711	0.6289115489
132	0.7040545989	0.6286789774
