iter	Passed	Remaining
0	148	29600
1	158	15735
2	173	11405
3	188	9212
4	202	7890
5	216	6999
6	230	6354
7	244	5869
8	255	5423
9	266	5063
10	278	4792
11	293	4593
12	306	4411
13	321	4274
14	336	4153
15	351	4046
16	364	3919
17	378	3823
18	392	3736
19	406	3660
20	421	3593
21	438	3550
22	455	3505
23	473	3473
24	491	3438
25	507	3394
26	518	3320
27	532	3273
28	543	3206
29	556	3151
30	570	3110
31	585	3072
32	601	3041
33	614	3000
34	629	2969
35	641	2923
36	656	2893
37	671	2863
38	685	2829
39	699	2797
40	712	2762
41	727	2737
42	743	2716
43	758	2690
44	774	2666
45	790	2645
46	806	2625
47	821	2602
48	836	2577
49	852	2558
50	867	2535
51	879	2504
52	895	2483
53	907	2454
54	924	2438
55	939	2415
56	953	2391
57	968	2371
58	983	2351
59	999	2333
60	1014	2312
61	1030	2293
62	1044	2270
63	1059	2250
64	1073	2229
65	1087	2208
66	1101	2185
67	1116	2167
68	1132	2150
69	1148	2133
70	1164	2116
71	1181	2099
72	1196	2081
73	1211	2063
74	1228	2047
75	1244	2030
76	1259	2011
77	1275	1994
78	1290	1976
79	1305	1958
80	1321	1941
81	1338	1925
82	1353	1907
83	1369	1890
84	1383	1872
85	1400	1856
86	1415	1839
87	1432	1822
88	1448	1806
89	1464	1789
90	1478	1771
91	1494	1753
92	1509	1736
93	1525	1720
94	1542	1705
95	1559	1688
96	1574	1671
97	1589	1654
98	1604	1637
99	1620	1620
100	1636	1604
101	1651	1587
102	1668	1571
103	1684	1555
104	1697	1536
105	1710	1516
106	1727	1501
107	1743	1485
108	1760	1470
109	1777	1454
110	1792	1437
111	1807	1419
112	1823	1404
113	1838	1387
114	1854	1370
115	1869	1353
116	1880	1333
117	1896	1317
118	1912	1301
119	1929	1286
120	1945	1270
121	1962	1254
122	1977	1237
123	1994	1222
124	2009	1205
125	2022	1187
126	2036	1170
127	2052	1154
128	2066	1137
129	2083	1121
130	2100	1106
131	2111	1087
132	2124	1070
133	2139	1053
134	2154	1037
135	2170	1021
136	2185	1004
137	2201	988
138	2215	972
139	2230	955
140	2244	939
141	2258	922
142	2272	905
143	2286	889
144	2301	872
145	2315	856
146	2330	840
147	2345	824
148	2359	807
149	2374	791
150	2390	775
151	2405	759
152	2421	743
153	2435	727
154	2450	711
155	2465	695
156	2477	678
157	2494	663
158	2510	647
159	2526	631
160	2542	615
161	2557	600
162	2572	583
163	2586	567
164	2601	551
165	2616	535
166	2631	519
167	2645	503
168	2660	488
169	2675	472
170	2690	456
171	2704	440
172	2719	424
173	2735	408
174	2750	392
175	2766	377
176	2781	361
177	2795	345
178	2809	329
179	2824	313
180	2840	298
181	2855	282
182	2870	266
183	2885	250
184	2899	235
185	2914	219
186	2928	203
187	2943	187
188	2958	172
189	2973	156
190	2987	140
191	3001	125
192	3016	109
193	3028	93
194	3043	78
195	3058	62
196	3073	46
197	3086	31
198	3102	15
199	3118	0
